"Ref","Sous-theme","Question","A","B","C","D","Explication"
"T1-001","Gentleman's agreement","A ""gentleman's agreement"" concluded purely by word of mouth:","holds good between merchants alone, civil law requiring writing for every undertaking","is in principle without binding force, yet proof of it may ground a claim in court","amounts to an undertaking of honour, which a judge sets aside as devoid of relevance to the case","exposes whoever goes back on it to criminal liability for breach of trust","The de Pury / Gauguin case (London, 2018-2019) awarded $10 million in commission on the strength of a proven oral agreement alone."
"T1-002","The Rothschild ethos","Which historic motto embodies the House of Rothschild's attachment to integrity?","""Honneur et Patrie, Valeur et Discipline""","""Liberté, Égalité, Fraternité""","""Concordia parvae res crescunt""","""Concordia, Integritas, Industria""","Granted in 1822 when the five brothers were ennobled; it gave its name to the family holding company ""Concordia""."
"T1-003","Discretion / confidentiality","At a private dinner at a business partner's home, you learn sensitive information about a deal in progress. You:","pass it on to your line manager alone","mention it to no one, not even internally","allude to it in veiled terms to the person concerned","share it internally with a colleague you trust","""What is said in the *salon* stays in the *salon*"" — the *salon* being the drawing room where society gathers: absolute discretion forbids any disclosure, however muted."
"T1-004","Discretion / confidentiality","After a dinner at which a senior civil servant alluded to forthcoming directions in regulation, a client questions you about the rumours. You:","confirm that the dinner took place but report nothing of it, referring him to official notices","feign ignorance and say nothing of the dinner itself, nor of who was present","relay the substance of what was said without naming its author, as an analyst would","confirm the substance of the rumour, naming neither the source nor where you heard it","Discretion forbids turning a private gathering to commercial advantage, or to the service of one's own prestige."
"T1-005","Cooptation / Jockey Club","At the Jockey Club de Paris, how many favourable votes does a single black ball (a vote against) cancel out?","10","3","5","2","The ballot requires a five-sixths majority: one black ball cancels five white ones."
"T1-006","Cooptation","In France's closed circles, economic wealth on its own:","outweighs the other forms of capital once it is paired with philanthropic commitment","is never sufficient: it must be legitimated by cultural and social capital","opens the doors of the circles as soon as the candidate pays the entrance fee","does away with the need for a sponsor when the candidate heads an old, respected house","For the Pinçon-Charlots, economic capital must be legitimated by other forms of capital (cultural, social)."
"T1-007","The art of the introduction","You wish to join a highly selective club in which two of your acquaintances are already members. You:","cultivate informal conversation and let your acquaintances offer, of their own accord, to sponsor you","send them a covering note and a curriculum vitae, requesting that they act as your sponsors","lodge your application with the club's secretariat, citing them as your referees without informing them","request an interview with the club's president, invoking the names of your two acquaintances","Discreet *cooptation* (election by the existing members) rules out any direct approach: the introduction must be suggested by the sponsors themselves."
"T1-008","The art of saying no","In French business, a counterpart who answers ""je vais y réfléchir"" (""I shall think it over"") and then never comes back most often means:","that he needs time and will return to you","that he is waiting to be chased insistently","that this is a polite refusal in disguise","that he has forgotten your proposal","""Je vais y réfléchir"" with nothing to follow functions as a courteous ""no"" that preserves the relationship."
"T1-009","The art of saying no","To convey a refusal to a partner over lunch, French usage favours:","sending a reasoned letter the following day, setting out point by point the grounds for the refusal","commending the merit of the idea and deferring the decision, while proposing to explore other avenues","a clear and immediate refusal, resting on an enumeration of the proposal's flaws","entrusting notice of the refusal to a trusted collaborator, so as to preserve the personal relationship","The art of saying no wraps the refusal in the promise of continued study, avoiding affront while keeping the conversation open."
"T1-010","Punctuality","You are invited to a business meeting in Paris at 9.00 a.m. At what time do you arrive?","at 9.00, or a few minutes before","at 8.00, a full hour early","at 9.15, the quarter-hour's grace","at 9.30, the hour being indicative","The *quart d'heure de politesse* does not apply in a professional setting: the hour announced is the hour meant."
"T1-011","Punctuality","You are invited to dinner at 8.00 p.m. at your hosts' private home. Custom holds that you should arrive:","at around 8.15, to leave your host time to finish preparing","at 7.45, early, so as to offer help with the final preparations","after 9.00, custom leaving the guest full latitude as to arrival","at 8.00 precisely, punctuality holding good in all circumstances","For a private dinner at home, one allows the host some 15 minutes' grace; that latitude holds neither in a restaurant nor in a professional setting."
"T1-012","Business gifts / Sapin II","Does the Sapin II Act set a precise statutory monetary threshold (€150, say) above which any business gift is prohibited?","Yes: €50 per recipient per financial year, any excess having to be entered in the house gifts register","No: there is no statutory threshold; it is disproportion, frequency and intent that characterise corruption","Yes: €150 precisely, the amount beyond which a gift must be declined or handed back to the giver","Yes, but for public officials alone, the private sector being governed by its own internal charters","The AFA imposes no threshold; each company sets its own, and it is corrupt intent that is penalised."
"T1-013","Lunch versus dinner","When is it most appropriate to raise a costed commercial proposal explicitly?","at a drinks reception","over a business lunch","away from any meal at all","at a society dinner","The business lunch has an operational purpose; the society dinner weaves bonds and excludes the frankly transactional register."
"T1-014","Grands corps","The expression *noblesse d'État* (""state nobility""), which describes the elite of the *grands corps* (France's senior state administrative corps) and the *grandes écoles*, was conceptualised by:","Alexis de Tocqueville","Niall Ferguson","Nadine de Rothschild","Pierre Bourdieu","In *La Noblesse d'État* (1989), Bourdieu analyses *esprit de corps* and *pantouflage*."
"T1-015","Parisian circles","As regards the admission of women, the Jockey Club de Paris is:","mixed since its foundation (women being admitted)","open to women since the year 2000","strictly male (women are excluded from it)","open to women through a spouse's sponsorship","Unlike the Cercle de l'Union interalliée, which admits women, the Jockey Club remains strictly male."
"T1-016","Gentleman's agreement","How does the Académie française define a ""gentleman's agreement""?","an agreement drawn up before a notary and enforceable without recourse to a court","a confidentiality clause binding the parties during preliminary negotiations","a written contract *sous seing privé* (signed privately, without a notary)","a verbal covenant in which the parties bind themselves on their word of honour","It is a moral undertaking resting on the honour of the persons concerned, in principle devoid of binding force."
"T1-017","One's given word","In circles governed by *cooptation* (election by the existing members), breaking an undertaking given orally brings:","permanent exclusion from those circles and from the flow of business","a financial compensation negotiated between the two houses","a resumption of talks on revised terms, with no further consequence","no consequence, an oral undertaking being a matter of conscience alone","Since the worth of one's signature and one's reputation are the principal asset, going back on one's word destroys credibility for good."
"T1-018","One's given word","Having sealed an agreement with a handshake in an exclusive circle, to demand a signed written protocol there and then is seen as:","an ordinary legal requirement","a mark of professionalism","an insulting want of trust","a shrewd and welcome precaution","Calling for immediate documentation betrays a mistrust that, in these circles, insults the other party."
"T1-019","Business gifts / Sapin II","The anti-corruption regime of the Sapin II Act is binding on companies:","of every size, provided they export outside the European Union","listed on the stock exchange, whatever their headcount or turnover","with at least 500 employees and turnover above €100 million","with at least 50 employees and turnover above €10 million","Act no. 2016-1691 targets large companies (≥500 employees and >€100 million in turnover)."
"T1-020","Business gifts","Offering a gift to a client while a tender process is under way is:","tolerated if it is modest","advisable, to stand out","customary in certain sectors","absolutely to be ruled out","A gift made in the midst of an award procedure is a textbook hallmark of attempted corruption."
"T1-021","Business gifts","Case law distinguishes *cadeaux d'usage* (customary gifts) from *cadeaux de valeur* (gifts of value). Which of these counts as a *cadeau d'usage*?","an inexpensive box of chocolates","an all-expenses-paid pleasure trip","costly jewellery given personally","a watch from a great watchmaking house","*Cadeaux d'usage* are of modest value and carry no corrupting effect; trips and jewellery fall under *cadeaux de valeur*."
"T1-022","Business gifts","In 2023, the Urgo laboratories, for having given more than €55 million in gifts to 8,000 pharmacists, were fined approximately:","€1,000","€55 million","€500 million","€1.1 million","The €1.125 million fine illustrates how disproportionate gift-giving is punished."
"T1-023","Cooptation / Jockey Club","To stand for membership of the Jockey Club de Paris, one must be presented by:","the club's president in person","a single sponsor who is a member","no sponsor at all, on a simple application","two sponsors who are members of the club","Two member sponsors present the candidate, whose social acceptability is weighed before any ballot is held."
"T1-024","Parisian circles","Unlike the Jockey Club, the Cercle de l'Union interalliée:","admits women as members (a mixed circle)","excludes women from any form of active membership","requires no sponsorship of its candidates","is reserved for diplomats posted to Paris","The Cercle de l'Union interalliée is mixed, where the Jockey Club remains strictly male."
"T1-025","Parisian circles","At the Cercle de l'Union interalliée, custom holds that, of the two sponsors, one must be:","a former minister or a serving ambassador","a member of more than twenty years' standing","a member of the admissions committee","of the same nationality as the candidate","One of the two sponsors must be of the same nationality as the candidate."
"T1-026","Grands corps","In the vocabulary of the *grands corps* (France's senior state administrative corps), *pantouflage* denotes:","the solidarity that unites the alumni of one school and of one corps","the professional secrecy binding public servants to the administration they belong to","the rite of admission by which a corps receives its new members","the passage from the senior civil service into banking and large corporations","*Pantouflage* is the departure of a senior civil servant for the private sector; *esprit de corps* denotes the solidarity between graduates."
"T1-027","Grands corps","Which of these networks traditionally structures the French business elite?","the Chambres de métiers (the chambers of skilled trades)","the Compagnons du Devoir (the guild of craft apprenticeship)","the Inspection des Finances (the state finance inspectorate)","the Conseils de prud'hommes (France's labour courts)","The Inspection des Finances, the ENA (now the INSP) and Polytechnique form the *noblesse d'État* described by Bourdieu."
"T1-028","The Rothschild ethos","Which historian, the first to gain access to the Rothschild family archives, drew a major biography from them?","Pierre Bourdieu","Jacques Le Goff","Fernand Braudel","Niall Ferguson","Niall Ferguson drew on more than 20,000 letters for *The House of Rothschild*."
"T1-029","The money taboo","The French taboo surrounding money is rooted in particular in:","the Protestant tradition of success displayed, joined to the Anglo-Saxon cult of individual merit","the Catholic inheritance, the aristocratic disdain for trade and the egalitarian ideal of the Revolution","recent legislation on the transparency of remuneration and of private wealth holdings","the Civil Code of 1804 alone, together with the rules of inheritance it established between heirs and spouses","Three roots combine: the religious (anti-chrematistic, hostile to wealth-getting for its own sake), the aristocratic and the revolutionary."
"T1-030","The money taboo","In France, parliamentarians' declarations of assets are:","open to consultation at the *préfecture* (the local seat of state administration) only, with no online publication","published online in full, on an open register that any citizen may consult freely","covered by tax secrecy and inaccessible to third parties, save to the courts","sent to every voter in the parliamentarian's constituency, at each renewal","Under the HATVP regime (the High Authority for Transparency in Public Life), they may be consulted at the *préfecture*; only declarations of interests are published."
"T1-031","Cooptation / Jockey Club","In what year was the Jockey Club de Paris founded?","1834","1789","1945","1901","The Jockey Club was founded in 1834; its seat is at 2 rue Rabelais in Paris."
"T1-032","Cooptation / Jockey Club","The membership of the Jockey Club de Paris is:","capped (at around 1,150 members)","unlimited (no cap in the statutes)","capped (at around 300 members)","capped (at around 10,000 members)","The roll is capped (some 1,146 members), which sharpens both its rarity and its selectivity."
"T1-033","Cooptation / Jockey Club","To be admitted to the Jockey Club, a candidate must carry the ballot by a majority of:","three quarters (around 75%)","a simple majority (over half)","two thirds (around 67%)","five sixths (around 84%)","The majority required is five sixths; a single black ball cancels five white ones."
